f_S[GHz],real(Zin),imag(Zin)
-11.74,4.10E-03,6.7230188
-11.73,4.10E-03,6.7287618
-11.72,4.11E-03,6.7345145
-11.71,4.12E-03,6.7402771
-11.7,4.12E-03,6.7460496
-11.69,4.13E-03,6.751832
-11.68,4.13E-03,6.7576243
-11.67,4.14E-03,6.7634265
-11.66,4.15E-03,6.7692388
-11.65,4.15E-03,6.775061
-11.64,4.16E-03,6.7808933
-11.63,4.17E-03,6.7867357
-11.62,4.17E-03,6.7925881
-11.61,4.18E-03,6.7984507
-11.6,4.19E-03,6.8043234
-11.59,4.19E-03,6.8102062
-11.58,4.20E-03,6.8160993
-11.57,4.20E-03,6.8220025
-11.56,4.21E-03,6.827916
-11.55,4.22E-03,6.8338398
-11.54,4.22E-03,6.8397739
-11.53,4.23E-03,6.8457183
-11.52,4.24E-03,6.851673
-11.51,4.24E-03,6.8576381
-11.5,4.25E-03,6.8636137
-11.49,4.26E-03,6.8695996
-11.48,4.26E-03,6.8755961
-11.47,4.27E-03,6.881603
-11.46,4.28E-03,6.8876204
-11.45,4.28E-03,6.8936484
-11.44,4.29E-03,6.8996869
-11.43,4.30E-03,6.9057361
-11.42,4.30E-03,6.9117959
-11.41,4.31E-03,6.9178663
-11.4,4.32E-03,6.9239474
-11.39,4.32E-03,6.9300392
-11.38,4.33E-03,6.9361418
-11.37,4.34E-03,6.9422551
-11.36,4.34E-03,6.9483792
-11.35,4.35E-03,6.9545142
-11.34,4.36E-03,6.96066
-11.33,4.36E-03,6.9668167
-11.32,4.37E-03,6.9729843
-11.31,4.38E-03,6.9791628
-11.3,4.38E-03,6.9853523
-11.29,4.39E-03,6.9915528
-11.28,4.40E-03,6.9977644
-11.27,4.40E-03,7.003987
-11.26,4.41E-03,7.0102207
-11.25,4.42E-03,7.0164655
-11.24,4.42E-03,7.0227214
-11.23,4.43E-03,7.0289886
-11.22,4.44E-03,7.0352669
-11.21,4.45E-03,7.0415565
-11.2,4.45E-03,7.0478573
-11.19,4.46E-03,7.0541695
-11.18,4.47E-03,7.0604929
-11.17,4.47E-03,7.0668278
-11.16,4.48E-03,7.073174
-11.15,4.49E-03,7.0795316
-11.14,4.49E-03,7.0859007
-11.13,4.50E-03,7.0922813
-11.12,4.51E-03,7.0986734
-11.11,4.52E-03,7.105077
-11.1,4.52E-03,7.1114922
-11.09,4.53E-03,7.117919
-11.08,4.54E-03,7.1243575
-11.07,4.54E-03,7.1308076
-11.06,4.55E-03,7.1372694
-11.05,4.56E-03,7.143743
-11.04,4.57E-03,7.1502283
-11.03,4.57E-03,7.1567254
-11.02,4.58E-03,7.1632344
-11.01,4.59E-03,7.1697552
-11,4.60E-03,7.1762879
-10.99,4.60E-03,7.1828326
-10.98,4.61E-03,7.1893892
-10.97,4.62E-03,7.1959578
-10.96,4.62E-03,7.2025384
-10.95,4.63E-03,7.2091311
-10.94,4.64E-03,7.2157359
-10.93,4.65E-03,7.2223528
-10.92,4.65E-03,7.2289819
-10.91,4.66E-03,7.2356231
-10.9,4.67E-03,7.2422766
-10.89,4.68E-03,7.2489424
-10.88,4.68E-03,7.2556204
-10.87,4.69E-03,7.2623108
-10.86,4.70E-03,7.2690136
-10.85,4.71E-03,7.2757287
-10.84,4.71E-03,7.2824563
-10.83,4.72E-03,7.2891963
-10.82,4.73E-03,7.2959488
-10.81,4.74E-03,7.3027139
-10.8,4.74E-03,7.3094916
-10.79,4.75E-03,7.3162818
-10.78,4.76E-03,7.3230847
-10.77,4.77E-03,7.3299003
-10.76,4.78E-03,7.3367286
-10.75,4.78E-03,7.3435696
-10.74,4.79E-03,7.3504235
-10.73,4.80E-03,7.3572901
-10.72,4.81E-03,7.3641696
-10.71,4.81E-03,7.371062
-10.7,4.82E-03,7.3779673
-10.69,4.83E-03,7.3848856
-10.68,4.84E-03,7.3918169
-10.67,4.85E-03,7.3987612
-10.66,4.85E-03,7.4057186
-10.65,4.86E-03,7.4126892
-10.64,4.87E-03,7.4196728
-10.63,4.88E-03,7.4266697
-10.62,4.89E-03,7.4336798
-10.61,4.89E-03,7.4407031
-10.6,4.90E-03,7.4477397
-10.59,4.91E-03,7.4547897
-10.58,4.92E-03,7.4618531
-10.57,4.93E-03,7.4689299
-10.56,4.93E-03,7.4760201
-10.55,4.94E-03,7.4831238
-10.54,4.95E-03,7.490241
-10.53,4.96E-03,7.4973718
-10.52,4.97E-03,7.5045163
-10.51,4.97E-03,7.5116743
-10.5,4.98E-03,7.5188461
-10.49,4.99E-03,7.5260315
-10.48,5.00E-03,7.5332308
-10.47,5.01E-03,7.5404438
-10.46,5.01E-03,7.5476707
-10.45,5.02E-03,7.5549115
-10.44,5.03E-03,7.5621661
-10.43,5.04E-03,7.5694348
-10.42,5.05E-03,7.5767175
-10.41,5.06E-03,7.5840142
-10.4,5.06E-03,7.591325
-10.39,5.07E-03,7.5986499
