f_S[GHz],real(Zin),imag(Zin)
-12.22,2.48E-02,41.98
-12.21,2.48E-02,42.01
-12.2,2.49E-02,42.05
-12.19,2.49E-02,42.08
-12.18,2.49E-02,42.12
-12.17,2.50E-02,42.15
-12.16,2.50E-02,42.19
-12.15,2.51E-02,42.22
-12.14,2.51E-02,42.26
-12.13,2.51E-02,42.29
-12.12,2.52E-02,42.33
-12.11,2.52E-02,42.36
-12.1,2.52E-02,42.4
-12.09,2.53E-02,42.43
-12.08,2.53E-02,42.47
-12.07,2.54E-02,42.5
-12.06,2.54E-02,42.54
-12.05,2.54E-02,42.57
-12.04,2.55E-02,42.61
-12.03,2.55E-02,42.64
-12.02,2.55E-02,42.68
-12.01,2.56E-02,42.72
-12,2.56E-02,42.75
-11.99,2.57E-02,42.79
-11.98,2.57E-02,42.82
-11.97,2.57E-02,42.86
-11.96,2.58E-02,42.89
-11.95,2.58E-02,42.93
-11.94,2.59E-02,42.97
-11.93,2.59E-02,43
-11.92,2.59E-02,43.04
-11.91,2.60E-02,43.07
-11.9,2.60E-02,43.11
-11.89,2.60E-02,43.15
-11.88,2.61E-02,43.18
-11.87,2.61E-02,43.22
-11.86,2.62E-02,43.26
-11.85,2.62E-02,43.29
-11.84,2.62E-02,43.33
-11.83,2.63E-02,43.37
-11.82,2.63E-02,43.4
-11.81,2.64E-02,43.44
-11.8,2.64E-02,43.48
-11.79,2.64E-02,43.51
-11.78,2.65E-02,43.55
-11.77,2.65E-02,43.59
-11.76,2.66E-02,43.63
-11.75,2.66E-02,43.66
-11.74,2.66E-02,43.7
-11.73,2.67E-02,43.74
-11.72,2.67E-02,43.77
-11.71,2.68E-02,43.81
-11.7,2.68E-02,43.85
-11.69,2.68E-02,43.89
-11.68,2.69E-02,43.92
-11.67,2.69E-02,43.96
-11.66,2.70E-02,44
-11.65,2.70E-02,44.04
-11.64,2.70E-02,44.08
-11.63,2.71E-02,44.11
-11.62,2.71E-02,44.15
-11.61,2.72E-02,44.19
-11.6,2.72E-02,44.23
-11.59,2.73E-02,44.27
-11.58,2.73E-02,44.3
-11.57,2.73E-02,44.34
-11.56,2.74E-02,44.38
-11.55,2.74E-02,44.42
-11.54,2.75E-02,44.46
-11.53,2.75E-02,44.5
-11.52,2.75E-02,44.54
-11.51,2.76E-02,44.57
-11.5,2.76E-02,44.61
-11.49,2.77E-02,44.65
-11.48,2.77E-02,44.69
-11.47,2.78E-02,44.73
-11.46,2.78E-02,44.77
-11.45,2.78E-02,44.81
-11.44,2.79E-02,44.85
-11.43,2.79E-02,44.89
-11.42,2.80E-02,44.93
-11.41,2.80E-02,44.97
-11.4,2.81E-02,45.01
-11.39,2.81E-02,45.05
-11.38,2.81E-02,45.08
-11.37,2.82E-02,45.12
-11.36,2.82E-02,45.16
-11.35,2.83E-02,45.2
-11.34,2.83E-02,45.24
-11.33,2.84E-02,45.28
-11.32,2.84E-02,45.32
-11.31,2.85E-02,45.36
-11.3,2.85E-02,45.4
-11.29,2.85E-02,45.45
-11.28,2.86E-02,45.49
-11.27,2.86E-02,45.53
-11.26,2.87E-02,45.57
-11.25,2.87E-02,45.61
-11.24,2.88E-02,45.65
-11.23,2.88E-02,45.69
-11.22,2.89E-02,45.73
-11.21,2.89E-02,45.77
-11.2,2.89E-02,45.81
-11.19,2.90E-02,45.85
-11.18,2.90E-02,45.89
-11.17,2.91E-02,45.93
-11.16,2.91E-02,45.98
-11.15,2.92E-02,46.02
-11.14,2.92E-02,46.06
-11.13,2.93E-02,46.1
-11.12,2.93E-02,46.14
-11.11,2.94E-02,46.18
-11.1,2.94E-02,46.22
-11.09,2.95E-02,46.27
-11.08,2.95E-02,46.31
-11.07,2.95E-02,46.35
-11.06,2.96E-02,46.39
-11.05,2.96E-02,46.43
-11.04,2.97E-02,46.48
-11.03,2.97E-02,46.52
-11.02,2.98E-02,46.56
-11.01,2.98E-02,46.6
-11,2.99E-02,46.65
-10.99,2.99E-02,46.69
-10.98,3.00E-02,46.73
-10.97,3.00E-02,46.77
-10.96,3.01E-02,46.82
-10.95,3.01E-02,46.86
-10.94,3.02E-02,46.9
-10.93,3.02E-02,46.95
-10.92,3.03E-02,46.99
-10.91,3.03E-02,47.03
-10.9,3.04E-02,47.07
-10.89,3.04E-02,47.12
