f_S[GHz],real(Zin),imag(Zin),,,
-10.98,4.61E-03,7.186,,,
-10.97,4.61E-03,7.193,,,
-10.96,4.62E-03,7.199,,,
-10.95,4.63E-03,7.206,,,
-10.94,4.64E-03,7.212,,,
-10.93,4.64E-03,7.219,,,
-10.92,4.65E-03,7.226,,,
-10.91,4.66E-03,7.232,,,
-10.9,4.67E-03,7.239,,,
-10.89,4.67E-03,7.246,,,
-10.88,4.68E-03,7.252,,,
-10.87,4.69E-03,7.259,,,
-10.86,4.70E-03,7.266,,,
-10.85,4.70E-03,7.272,,,
-10.84,4.71E-03,7.279,,,
-10.83,4.72E-03,7.286,,,
-10.82,4.73E-03,7.293,,,
-10.81,4.73E-03,7.299,,,
-10.8,4.74E-03,7.306,,,
-10.79,4.75E-03,7.313,,,
-10.78,4.76E-03,7.32,,,
-10.77,4.76E-03,7.326,,,
-10.76,4.77E-03,7.333,,,
-10.75,4.78E-03,7.34,,,
-10.74,4.79E-03,7.347,,,
-10.73,4.80E-03,7.354,,,
-10.72,4.80E-03,7.361,,,
-10.71,4.81E-03,7.368,,,
-10.7,4.82E-03,7.375,,,
-10.69,4.83E-03,7.381,,,
-10.68,4.83E-03,7.388,,,
-10.67,4.84E-03,7.395,,,
-10.66,4.85E-03,7.402,,,
-10.65,4.86E-03,7.409,,,
-10.64,4.87E-03,7.416,,,
-10.63,4.87E-03,7.423,,,
-10.62,4.88E-03,7.43,,,
-10.61,4.89E-03,7.437,,,
-10.6,4.90E-03,7.444,,,
-10.59,4.91E-03,7.451,,,
-10.58,4.91E-03,7.458,,,
-10.57,4.92E-03,7.465,,,
-10.56,4.93E-03,7.472,,,
-10.55,4.94E-03,7.48,,,
-10.54,4.95E-03,7.487,,,
-10.53,4.95E-03,7.494,,,
-10.52,4.96E-03,7.501,,,
-10.51,4.97E-03,7.508,,,
-10.5,4.98E-03,7.515,,,
-10.49,4.99E-03,7.522,,,
-10.48,4.99E-03,7.53,,,
-10.47,5.00E-03,7.537,,,
-10.46,5.01E-03,7.544,,,
-10.45,5.02E-03,7.551,,,
-10.44,5.03E-03,7.559,,,
-10.43,5.04E-03,7.566,,,
-10.42,5.04E-03,7.573,,,
-10.41,5.05E-03,7.58,,,
-10.4,5.06E-03,7.588,,,
-10.39,5.07E-03,7.595,,,
-10.38,5.08E-03,7.602,,,
-10.37,5.09E-03,7.61,,,
-10.36,5.09E-03,7.617,,,
-10.35,5.10E-03,7.624,,,
-10.34,5.11E-03,7.632,,,
-10.33,5.12E-03,7.639,,,
-10.32,5.13E-03,7.647,,,
-10.31,5.14E-03,7.654,,,
-10.3,5.15E-03,7.661,,,
-10.29,5.15E-03,7.669,,,
-10.28,5.16E-03,7.676,,,
-10.27,5.17E-03,7.684,,,
-10.26,5.18E-03,7.691,,,
-10.25,5.19E-03,7.699,,,
