f_S[GHz],real(Zin),imag(Zin)
-9.23,2.128,58.58
-9.22,2.132,58.65
-9.21,2.136,58.71
-9.2,2.14,58.77
-9.19,2.143,58.83
-9.18,2.147,58.89
-9.17,2.151,58.96
-9.16,2.155,59.02
-9.15,2.159,59.08
-9.14,2.163,59.15
-9.13,2.167,59.21
-9.12,2.17,59.27
-9.11,2.174,59.34
-9.1,2.178,59.4
-9.09,2.182,59.46
-9.08,2.186,59.53
-9.07,2.19,59.59
-9.06,2.194,59.65
-9.05,2.198,59.72
-9.04,2.202,59.78
-9.03,2.206,59.85
-9.02,2.21,59.91
-9.01,2.214,59.98
-9,2.218,60.04
-8.99,2.222,60.11
-8.98,2.226,60.17
-8.97,2.23,60.24
-8.96,2.234,60.3
-8.95,2.238,60.37
-8.94,2.242,60.43
-8.93,2.246,60.5
-8.92,2.25,60.57
-8.91,2.254,60.63
-8.9,2.258,60.7
-8.89,2.263,60.77
-8.88,2.267,60.83
-8.87,2.271,60.9
-8.86,2.275,60.97
-8.85,2.279,61.03
-8.84,2.283,61.1
-8.83,2.288,61.17
-8.82,2.292,61.24
-8.81,2.296,61.3
-8.8,2.3,61.37
-8.79,2.304,61.44
-8.78,2.309,61.51
-8.77,2.313,61.58
-8.76,2.317,61.64
-8.75,2.321,61.71
-8.74,2.326,61.78
-8.73,2.33,61.85
-8.72,2.334,61.92
-8.71,2.339,61.99
-8.7,2.343,62.06
-8.69,2.347,62.13
-8.68,2.352,62.2
-8.67,2.356,62.27
-8.66,2.36,62.34
-8.65,2.365,62.41
-8.64,2.369,62.48
-8.63,2.373,62.55
-8.62,2.378,62.62
-8.61,2.382,62.69
-8.6,2.387,62.76
-8.59,2.391,62.83
-8.58,2.396,62.9
-8.57,2.4,62.97
-8.56,2.405,63.05
-8.55,2.409,63.12
-8.54,2.414,63.19
-8.53,2.418,63.26
-8.52,2.423,63.33
-8.51,2.427,63.41
-8.5,2.432,63.48
-8.49,2.436,63.55
-8.48,2.441,63.62
-8.47,2.445,63.7
-8.46,2.45,63.77
-8.45,2.455,63.84
-8.44,2.459,63.92
-8.43,2.464,63.99
-8.42,2.469,64.06
-8.41,2.473,64.14
-8.4,2.478,64.21
-8.39,2.483,64.29
-8.38,2.487,64.36
-8.37,2.492,64.44
-8.36,2.497,64.51
-8.35,2.501,64.59
-8.34,2.506,64.66
-8.33,2.511,64.74
-8.32,2.516,64.81
-8.31,2.52,64.89
-8.3,2.525,64.96
-8.29,2.53,65.04
-8.28,2.535,65.12
-8.27,2.54,65.19
-8.26,2.545,65.27
-8.25,2.549,65.35
-8.24,2.554,65.42
-8.23,2.559,65.5
-8.22,2.564,65.58
-8.21,2.569,65.66
-8.2,2.574,65.73
-8.19,2.579,65.81
-8.18,2.584,65.89
-8.17,2.589,65.97
-8.16,2.594,66.05
-8.15,2.599,66.13
-8.14,2.604,66.21
-8.13,2.609,66.28
-8.12,2.614,66.36
-8.11,2.619,66.44
-8.1,2.624,66.52
-8.09,2.629,66.6
-8.08,2.634,66.68
-8.07,2.639,66.76
-8.06,2.644,66.84
-8.05,2.649,66.92
-8.04,2.654,67
-8.03,2.659,67.09
-8.02,2.665,67.17
-8.01,2.67,67.25
-8,2.675,67.33
-7.99,2.68,67.41
-7.98,2.685,67.49
-7.97,2.691,67.58
-7.96,2.696,67.66
-7.95,2.701,67.74
-7.94,2.706,67.82
-7.93,2.712,67.91
-7.92,2.717,67.99
-7.91,2.722,68.07
-7.9,2.728,68.16
-7.89,2.733,68.24
-7.88,2.738,68.33
-7.87,2.744,68.41
-7.86,2.749,68.49
-7.85,2.754,68.58
-7.84,2.76,68.66
-7.83,2.765,68.75
-7.82,2.771,68.83
-7.81,2.776,68.92
-7.8,2.782,69.01
-7.79,2.787,69.09
-7.78,2.792,69.18
-7.77,2.798,69.26
-7.76,2.804,69.35
-7.75,2.809,69.44
-7.74,2.815,69.52
-7.73,2.82,69.61
-7.72,2.826,69.7
-7.71,2.831,69.79
-7.7,2.837,69.87
-7.69,2.843,69.96
-7.68,2.848,70.05
-7.67,2.854,70.14
-7.66,2.86,70.23
-7.65,2.865,70.32
-7.64,2.871,70.41
-7.63,2.877,70.5
-7.62,2.882,70.59
-7.61,2.888,70.68
-7.6,2.894,70.77
-7.59,2.9,70.86
-7.58,2.905,70.95
-7.57,2.911,71.04
-7.56,2.917,71.13
-7.55,2.923,71.22
-7.54,2.929,71.31
-7.53,2.935,71.4
-7.52,2.941,71.5
-7.51,2.946,71.59
-7.5,2.952,71.68
-7.49,2.958,71.77
-7.48,2.964,71.87
-7.47,2.97,71.96
-7.46,2.976,72.05
-7.45,2.982,72.15
-7.44,2.988,72.24
-7.43,2.994,72.33
-7.42,3,72.43
-7.41,3.006,72.52
-7.4,3.012,72.62
-7.39,3.019,72.71
-7.38,3.025,72.81
-7.37,3.031,72.9
-7.36,3.037,73
-7.35,3.043,73.1
-7.34,3.049,73.19
-7.33,3.055,73.29
-7.32,3.062,73.39
-7.31,3.068,73.48
-7.3,3.074,73.58
-7.29,3.08,73.68
-7.28,3.087,73.78
-7.27,3.093,73.88
-7.26,3.099,73.97
-7.25,3.106,74.07
-7.24,3.112,74.17
-7.23,3.118,74.27
-7.22,3.125,74.37
-7.21,3.131,74.47
-7.2,3.138,74.57
-7.19,3.144,74.67
-7.18,3.15,74.77
-7.17,3.157,74.87
-7.16,3.163,74.97
-7.15,3.17,75.08
-7.14,3.176,75.18
-7.13,3.183,75.28
-7.12,3.189,75.38
-7.11,3.196,75.48
-7.1,3.203,75.59
-7.09,3.209,75.69
-7.08,3.216,75.79
-7.07,3.223,75.9
-7.06,3.229,76
-7.05,3.236,76.11
-7.04,3.243,76.21
-7.03,3.249,76.32
-7.02,3.256,76.42
-7.01,3.263,76.53
-7,3.27,76.63
-6.99,3.276,76.74
-6.98,3.283,76.84
-6.97,3.29,76.95
-6.96,3.297,77.06
-6.95,3.304,77.17
-6.94,3.311,77.27
-6.93,3.317,77.38
-6.92,3.324,77.49
-6.91,3.331,77.6
-6.9,3.338,77.71
-6.89,3.345,77.82
-6.88,3.352,77.92
-6.87,3.359,78.03
-6.86,3.366,78.14
-6.85,3.373,78.25
-6.84,3.38,78.37
-6.83,3.388,78.48
-6.82,3.395,78.59
-6.81,3.402,78.7
-6.8,3.409,78.81
-6.79,3.416,78.92
-6.78,3.423,79.04
-6.77,3.431,79.15
-6.76,3.438,79.26
-6.75,3.445,79.37
-6.74,3.452,79.49
-6.73,3.46,79.6
-6.72,3.467,79.72
-6.71,3.474,79.83
-6.7,3.482,79.95
-6.69,3.489,80.06
-6.68,3.496,80.18
-6.67,3.504,80.29
-6.66,3.511,80.41
-6.65,3.519,80.53
-6.64,3.526,80.65
-6.63,3.534,80.76
-6.62,3.541,80.88
-6.61,3.549,81
-6.6,3.556,81.12
-6.59,3.564,81.24
-6.58,3.571,81.36
-6.57,3.579,81.48
-6.56,3.587,81.6
-6.55,3.594,81.72
-6.54,3.602,81.84
