f_S[GHz],real(Zin),imag(Zin),,,,,
-12.33,2.44E-02,41.59,,,,,
-12.32,2.44E-02,41.62,,,,,
-12.31,2.45E-02,41.66,,,,,
-12.3,2.45E-02,41.69,,,,,
-12.29,2.45E-02,41.72,,,,,
-12.28,2.46E-02,41.76,,,,,
-12.27,2.46E-02,41.79,,,,,
-12.26,2.46E-02,41.83,,,,,
-12.25,2.47E-02,41.86,,,,,
-12.24,2.47E-02,41.89,,,,,
-12.23,2.47E-02,41.93,,,,,
-12.22,2.48E-02,41.96,,,,,
-12.21,2.48E-02,42,,,,,
-12.2,2.49E-02,42.03,,,,,
-12.19,2.49E-02,42.07,,,,,
-12.18,2.49E-02,42.1,,,,,
-12.17,2.50E-02,42.14,,,,,
-12.16,2.50E-02,42.17,,,,,
-12.15,2.50E-02,42.2,,,,,
-12.14,2.51E-02,42.24,,,,,
-12.13,2.51E-02,42.27,,,,,
-12.12,2.52E-02,42.31,,,,,
-12.11,2.52E-02,42.34,,,,,
-12.1,2.52E-02,42.38,,,,,
-12.09,2.53E-02,42.41,,,,,
-12.08,2.53E-02,42.45,,,,,
-12.07,2.53E-02,42.48,,,,,
-12.06,2.54E-02,42.52,,,,,
-12.05,2.54E-02,42.56,,,,,
-12.04,2.54E-02,42.59,,,,,
-12.03,2.55E-02,42.63,,,,,
-12.02,2.55E-02,42.66,,,,,
-12.01,2.56E-02,42.7,,,,,
-12,2.56E-02,42.73,,,,,
-11.99,2.56E-02,42.77,,,,,
-11.98,2.57E-02,42.8,,,,,
-11.97,2.57E-02,42.84,,,,,
-11.96,2.58E-02,42.88,,,,,
-11.95,2.58E-02,42.91,,,,,
-11.94,2.58E-02,42.95,,,,,
-11.93,2.59E-02,42.98,,,,,
-11.92,2.59E-02,43.02,,,,,
-11.91,2.59E-02,43.06,,,,,
-11.9,2.60E-02,43.09,,,,,
-11.89,2.60E-02,43.13,,,,,
-11.88,2.61E-02,43.17,,,,,
-11.87,2.61E-02,43.2,,,,,
-11.86,2.61E-02,43.24,,,,,
-11.85,2.62E-02,43.27,,,,,
-11.84,2.62E-02,43.31,,,,,
-11.83,2.63E-02,43.35,,,,,
-11.82,2.63E-02,43.38,,,,,
-11.81,2.63E-02,43.42,,,,,
-11.8,2.64E-02,43.46,,,,,
